time,y0_index,beta,Ca,delta,Susceptible,Exposed,Infectious_asymptomatic,Infectious_pre-symptomatic,Infectious_mild,Infectious_severe,Hospitalized_recovered,Hospitalized_deceased,Recovered,Deceased
0,0.0,0.5,0.4250000119209289,0.1375000029802322,0.9999036654135338,4.8089471271778654e-05,2.8091956780720616e-05,5.825867189623589e-06,2.270782088769426e-06,1.7585176175434683e-07,2.439521537599672e-06,2.4348915493208873e-06,3.2388993496215046e-06,1.605584081709956e-07
1,0.0,0.5,0.4250000119209289,0.1375000029802322,0.9998760227775321,4.921208949245817e-05,3.23743399803255e-05,9.590059083839898e-06,9.334870922904652e-06,7.22902196883874e-07,2.152841860577014e-06,2.220812403450985e-06,3.5473097219555738e-06,5.109477153872558e-07
2,0.0,0.5,0.4250000119209289,0.1375000029802322,0.9998357566710895,5.957535939565999e-05,3.711415194804279e-05,1.1869044460660498e-05,1.6764372547660873e-05,1.2982506044104655e-06,1.9287831766071456e-06,2.2017777572422624e-06,3.821414743361881e-06,8.439119983770389e-07
3,0.0,0.48049080797604155,0.4250000119209289,0.1375000029802322,0.99978214838567,7.576792538561477e-05,4.387230629170871e-05,1.4841066073935485e-05,2.4402643434596806e-05,1.8897663082992822e-06,1.7597764427289665e-06,2.3523235714718532e-06,4.069127218220309e-06,1.1870686888044498e-06
4,0.0,0.44800665974617004,0.4250000119209289,0.1375000029802322,0.9997125902992776,9.744727455124459e-05,5.3444431152523716e-05,1.8918970280405027e-05,3.30976418437955e-05,2.56311596450457e-06,1.641147505405746e-06,2.662681960328462e-06,4.297500687961503e-06,1.5651105727204598e-06
5,0.0,0.4177186403955732,0.4250000119209289,0.1375000029802322,0.9996228162317558,0.00012552786006977143,6.652701725285612e-05,2.4307607813568996e-05,4.368360728337387e-05,3.38290410109999e-06,1.5718901243495253e-06,3.1436126210706063e-06,4.513212384225766e-06,2.002848243882096e-06
6,0.0,0.38947827901159016,0.4250000119209289,0.1375000029802322,0.9995071502285124,0.00016173842198265715,8.395721939449093e-05,3.129609636759206e-05,5.6969932973446366e-05,4.411811060949745e-06,1.5540419647023335e-06,3.822508734200145e-06,4.723013633650417e-06,2.5280197162675973e-06
7,0.0,0.370940910918372,0.4250000119209289,0.1375000029802322,0.999358184063099,0.00020835339044122857,0.00010684971652615858,4.0315014202124105e-05,7.386874379300446e-05,5.72047253968212e-06,1.5924397109620923e-06,4.741920511683549e-06,4.934117028833789e-06,3.1736581423597914e-06
8,0.0,0.3704091012477875,0.4250000119209289,0.1375000029802322,0.9991663718118826,0.00026832147300475713,0.00013665392320447143,5.192601573549856e-05,9.548966842081484e-05,7.39481933134839e-06,1.6949236718107074e-06,5.960894144163113e-06,5.15458373989694e-06,3.980467317028066e-06
9,0.0,0.3704091012477875,0.4250000119209289,0.1375000029802322,0.9989194677871148,0.00034546907141759996,0.00017526224871112857,6.686598147752625e-05,0.00012322571642114287,9.542729252474015e-06,1.8728181322152048e-06,7.5579966905456925e-06,5.3937583129243945e-06,4.999526531563103e-06
10,0.0,0.35953375697135925,0.4250000119209289,0.1375000029802322,0.9986016327583666,0.00044471414310991424,0.00022513009720485713,8.608611741108861e-05,0.00015885364701747145,1.2301793830260825e-05,2.1416916883081422e-06,9.636028351095528e-06,5.662783187310569e-06,6.295587291377284e-06
11,0.0,0.3352270594664982,0.4250000119209289,0.1375000029802322,0.9981926138876603,0.0005723833491558,0.00028943267691787137,0.00011081154199184616,0.00020465050322909998,1.584835058114143e-05,2.5224055791171834e-06,1.2328471122335654e-05,5.9752405946380924e-06,7.951217644618496e-06
12,0.0,0.312563636473247,0.4250000119209289,0.1375000029802322,0.9976663073123987,0.0007365597940450428,0.0003722619978038,0.0001426148311272,0.0002635386153587143,2.0408709105815436e-05,3.0424980116895778e-06,1.5807931549373707e-05,6.3479491853439825e-06,1.00720551940837e-05
13,0.0,0.29143240622111727,0.4250000119209289,0.1375000029802322,0.9969893852277752,0.0009475562236098714,0.00047886625096168567,0.0001835025391992143,0.00033926240880804287,2.6272836308659977e-05,3.7379727398032866e-06,2.029700056388458e-05,6.801981253204278e-06,1.2793529284979308e-05
14,0.0,0.27559169701167513,0.4250000119209289,0.1375000029802322,0.9961190476190477,0.0012185953380118143,0.000615972321802843,0.00023604268463908571,0.0004366137619726714,3.38118262264944e-05,4.655576571240005e-06,2.608202664739313e-05,7.363946533090647e-06,1.6289438801354474e-05
15,0.0,0.2744058072566986,0.4250000119209289,0.1375000029802322,0.9950005897095681,0.0015665244330667714,0.0007921941263141428,0.00030351880678252855,0.0005617255247853001,4.350061204323423e-05,5.855722341603557e-06,3.353076801527817e-05,8.067630164376863e-06,2.0782896433012966e-05
16,0.0,0.2744058072566986,0.4250000119209289,0.1375000029802322,0.993564047987616,0.0020127165483791714,0.0010185232026095144,0.00039010538682984286,0.0007224315186086285,5.5945856318473115e-05,7.416216757345671e-06,4.311484452564949e-05,8.956069811315254e-06,2.6560303245025912e-05
17,0.0,0.26863204155649456,0.4250000119209289,0.1375000029802322,0.9917205237358101,0.0025842779700284,0.0013089604288466573,0.000501107050679,0.0009287158325500571,7.192073542513223e-05,9.436966025616662e-06,5.5438042108804874e-05,1.0084198478328677e-05,3.3989145255591446e-05
18,0.0,0.25083819244589123,0.4250000119209289,0.1375000029802322,0.9893570967860829,0.0033152485346522854,0.0016812575693311428,0.0006432148684411571,0.0011932643174456857,9.240765960345665e-05,1.204589431517493e-05,7.127186908634753e-05,1.1522206623224177e-05,4.3540640213347884e-05
19,0.0,0.23387997916766573,0.4250000119209289,0.1375000029802322,0.9863310758513932,0.0042482418491656005,0.0021578324149355,0.0008248362101830142,0.0015321281216022144,0.00011864963640028571,1.5406290268311016e-05,9.15996220265374e-05,1.3359793902462815e-05,5.581840898687292e-05
20,0.0,0.218068248459271,0.4250000119209289,0.1375000029802322,0.9824630417956656,0.0054360585517101,0.0027668269507638145,0.0010564523635317143,0.0019655133820591715,0.00015221144417364288,1.972580349728296e-05,0.00011767036092675715,1.571149430970219e-05,7.159438000374904e-05
21,0.0,0.20504777559212273,0.4250000119209289,0.1375000029802322,0.9775294209789179,0.006943290196423929,0.003543295206651686,0.0013509934864159002,0.0025186894453504425,0.00019504997369265714,2.526744002879729e-05,0.0001510646279610286,1.8723378047186702e-05,9.18540341583669e-05
22,0.0,0.2032848298549652,0.4250000119209289,0.1375000029802322,0.9712534461152883,0.00884784816475927,0.004530476186156985,0.001724216205293757,0.003222977811601586,0.00024959080440352854,3.236254383184451e-05,0.00019377197643547143,2.2581351571390276e-05,0.00011785232811638571
23,0.0,0.2032848298549652,0.4250000119209289,0.1375000029802322,0.963297554548135,0.01124144258854853,0.005780980340326857,0.0021949597684468,0.0041167529563222996,0.0003188057153885,4.142574179265662e-05,0.00024828016373074286,2.7521337570737073e-05,0.0001511823206230143
24,0.0,0.20042384309428077,0.4250000119209289,0.1375000029802322,0.9532562840925844,0.014228933143981215,0.007357686855581,0.002785211463285943,0.005246296606636015,0.00040627877191682857,5.297142218896707e-05,0.0003176725472774857,3.384157754706015e-05,0.00019385797274804287
25,0.0,0.1876930828605379,0.4250000119209289,0.1375000029802322,0.9406529927760579,0.01792503288321903,0.009333960187693443,0.003519772583169743,0.0066662729750617,0.0005162432205354857,6.76305659239436e-05,0.0004057274129069286,4.1917194364767904e-05,0.00024841202639304285
26,0.0,0.17500386919294078,0.4250000119209289,0.1375000029802322,0.9249437748783725,0.02244672227443603,0.011792535106147643,0.0044252145399689006,0.008439416124179899,0.0006535572455235713,8.61659038036987e-05,0.0005170057865610858,5.221693603299667e-05,0.0003180081866473571
27,0.0,0.1631725260189601,0.4250000119209289,0.1375000029802322,0.9055327841662981,0.027900190503833057,0.014822254395179101,0.005527808707775814,0.01063482623723827,0.0008235720814846572,0.00010948164055657984,0.0006569050998791286,6.532166514902116e-05,0.0004065645069705
28,0.0,0.15278112888336176,0.4250000119209289,0.1375000029802322,0.8818045942061035,0.0343596367412096,0.0185115592289547,0.006849986221873571,0.0133241149461429,0.0010318333568007428,0.00013862225750312858,0.0008316445770330572,8.194347653226588e-05,0.0005188801948359
29,0.0,0.1505971103906631,0.4250000119209289,0.1375000029802322,0.8531797047766475,0.04183776709697031,0.022937556437048454,0.008404974335540086,0.016574437731507012,0.001283541819277,0.00017475215344407144,0.001048132856915343,0.00010294345077923583,0.0006607520963771571
30,0.0,0.1505971103906631,0.4250000119209289,0.1375000029802322,0.8191953412944125,0.05024879581766911,0.028149868294357172,0.010189584715465086,0.020437598476890716,0.0015827091064632428,0.0002191058966889143,0.0013136549258888715,0.00012934491262834287,0.0008390582564233856
31,0.0,0.14932120697838916,0.4250000119209289,0.1375000029802322,0.7796102664750111,0.05936959989587936,0.034149335885670026,0.012175689827740257,0.024934841123949527,0.0019309803331282714,0.00027289766775332857,0.0016353104692740145,0.0001623372692775143,0.0010617758295237713
